commit_url,JETO_label,manual_label,issue_number,GPT_label,tie_breaking_label
https://github.com/quarkusio/quarkus/commit/52ff285143f3a07cf10661bfb16e3af3ca043ba7,False,False,36053,False,
https://github.com/flyway/flyway/commit/187744039c975202f030a16f095dd981f85144af,False,False,2539,False,
https://github.com/jchambers/pushy/commit/638170ab1ab26f71883798114e1d10622bcc5d7f,False,False,309,False,
https://github.com/apache/dolphinscheduler/commit/a80fca70f7f325aad8eda2fdc1fe64b2a7d2f04f,False,False,6497,False,
https://github.com/MarginallyClever/Robot-Overlord-App/commit/02231ac61509b191e4c3df3d49752204ddbd03ea,False,False,1,False,
https://github.com/apache/shardingsphere/commit/0de684e0e39907923e8976e8c1bb88378037639b,False,False,1517,False,
https://github.com/psi-probe/psi-probe/commit/d78026d65f267c9034ada2f50c5a4a24239736d0,False,False,4036,False,
https://github.com/jstachio/jstachio/commit/bfab840ef416b865fe46f4da49425cb493193abe,False,False,296,True,True
https://github.com/javafx-maven-plugin/javafx-maven-plugin/commit/b15bd91da96b66b7d0f33606630046d44320825a,False,False,190,False,
https://github.com/dropwizard/dropwizard/commit/d69dd085a795b8ddda8f97700fb547500a9c0db8,False,False,7319,False,
https://github.com/microsoft/azure-tools-for-java/commit/936bb2dd8781e4077449bad3996b27dd510eef1a,False,False,3,False,
https://github.com/Pi4J/pi4j/commit/e670202d2683964e896e8285b4d8e2757d781bac,False,False,321,False,
https://github.com/quarkusio/quarkus/commit/0ae1fea53a31c967cbcaa60bb46d4dbc103f4f5a,False,False,,False,
https://github.com/sundrio/sundrio/commit/610434604ca454a2998067396173c0ece82c436f,False,True,415,False,True
https://github.com/musaibasrar/Curium/commit/0bafbd7ce7ed4e9fe9a1c50576a24678e3d5ee2d,False,False,961,False,
https://github.com/apache/shardingsphere/commit/07ff6afbbd3d08196ecbdc694ea2891fa463bfb9,False,False,1928,False,
https://github.com/GoogleCloudPlatform/spring-cloud-gcp/commit/e967a0ab5291785c1016f918f868401192c8208b,False,False,31,False,
https://github.com/mojohaus/buildplan-maven-plugin/commit/56879cbc1a908bb5c46dc934b2aa216cdd4f9b4f,False,False,4,False,
https://github.com/quarkusio/quarkus/commit/8d99345944c683b22a528e6c1a138b9a602e5597,False,False,144,False,
https://github.com/MarginallyClever/Makelangelo-software/commit/67443190a2860deb8f261bb47722a7336435136f,False,False,564,False,
https://github.com/fabric8io/kubernetes-client/commit/f8dd11bb0315e8d4bdf6cb7087022f9dc55ed44f,False,False,4408,False,
https://github.com/apache/shardingsphere/commit/4f9f28ae6253a211c904e3f2922fb1bcc73893a1,False,False,1153,False,
https://github.com/paulcwarren/spring-content/commit/6f369635b4a88f3bf202f8e88afbd257d7548e8b,False,False,,False,
https://github.com/apache/dolphinscheduler/commit/38b643f69b65f4de9dd43809404470934bfadc7b,False,False,12325,False,
https://github.com/awspring/spring-cloud-aws/commit/1d0004673a7545cb8bf1bb5936a2211d01e7b7fc,False,False,351,False,
https://github.com/liquibase/liquibase/commit/61da97e942025dcf4894189db74c9f91647786d7,False,False,2109,False,
https://github.com/GIScience/openrouteservice/commit/232cc8e21f9cab8a1261292f27bca59c09a6c83e,False,True,1573,True,
https://github.com/spring-projects/spring-data-mongodb/commit/0ae20543265c06544ddcc9c9b28d79db540bf9ca,False,False,4941,False,
https://github.com/apache/shardingsphere/commit/3d20458346f9419607c71b0de38129c6ff7f8cf9,False,False,2464,False,
https://github.com/quarkusio/quarkus/commit/0003db81bfee4b38390d8c7c223e8ae720cd9737,False,False,30390,False,
https://github.com/FasterXML/jackson-datatype-joda/commit/aff2c7f33d513f7577810ca8d4c26a13ee9f42a8,False,False,51,False,
https://github.com/microsoft/semantic-kernel-java/commit/03bd7ed72dc51a6173f0ec8375807a746132c3e1,False,False,312,False,
https://github.com/spring-cloud/spring-cloud-function/commit/b46946a2188cb91121f233ed9c85c49db4169f8d,False,False,766,False,
https://github.com/apache/ignite/commit/483ec63e3ca2f733dfae2f7d7b7871b1ec361ff0,False,False,11605,False,
https://github.com/quarkusio/quarkus/commit/181afe86a49a2284ab0b5ce1a36b957dba98aacf,False,False,13871,False,
https://github.com/ita-social-projects/GreenCity/commit/5714125027a0ee201087b33ad72f6a2633c3c806,False,False,7068,False,
https://github.com/fabric8io/kubernetes-client/commit/3773ba9041a2b5774ad5e0b59347c8258bce5de2,False,False,2910,False,
https://github.com/dekorateio/dekorate/commit/6703d9c69d57d7cf366bfde29073c89f0db295e3,False,False,18,False,
https://github.com/apache/ignite/commit/c785dc578cf9c10a2929e1789411147ff224c70c,False,False,11422,False,
https://github.com/alibaba/spring-ai-alibaba/commit/6570f0063684c3d7f66961476086b335b817a43a,False,False,15,False,
https://github.com/arquillian/arquillian-cube/commit/173c717bd1f85c7ea9b4d6ffbd06876cc035649e,False,False,183,False,
https://github.com/spacious-team/investbook/commit/2ed8f7e036d82fd75fe5c8b9d1cea707d73490f0,False,False,430,False,
https://github.com/alibaba/spring-cloud-alibaba/commit/940420b0bf5da69d29cc557d5a3eec62e42dd817,False,False,1478,False,
https://github.com/eclipse-xtext/xtext/commit/e116332d46f2f0f0df33e462c46f13608865c77f,False,False,3132,False,
https://github.com/apache/pulsar/commit/c08b39226c1108b028e532a46125a1f251c3c9e3,False,False,15,False,
https://github.com/urlaubsverwaltung/urlaubsverwaltung/commit/7a871d465f4c926f89f140396c6605675b35a150,False,False,4693,True,True
https://github.com/pinpoint-apm/pinpoint/commit/e0cfce016d9b1f9a2fb62e5c54b430f844a58ea8,False,False,11854,False,
https://github.com/microsoft/azure-tools-for-java/commit/ab6f58a7809bb9fdfa36189f088ceab63b1d9bac,False,False,2,False,
https://github.com/smallrye/smallrye-mutiny-vertx-bindings/commit/401632f64a4e34e7f7e585be95d02cd0791355a4,False,False,201,False,
https://github.com/quarkusio/quarkus/commit/72b1a5e8fd271af0a65066659d5c2b060d61178a,False,False,30515,False,
https://github.com/alibaba/nacos/commit/6cd77572a30dc94760a967ed5d986f66d9fa31ea,False,False,1037,False,
https://github.com/oceanbase/odc/commit/7c5581202f9c7795e2b712a8c0f4293325094a0f,False,False,717,False,
https://github.com/MarginallyClever/Robot-Overlord-App/commit/88a16be7bb0b95a71201117d2d56e50da6967fff,False,False,1,False,
https://github.com/9tigerio/db2rest/commit/d721ff7a7523fb575aaebb6f123089b51a9f9e10,False,False,377,False,
https://github.com/rubenlagus/TelegramBots/commit/add72983a377d25ee352dacc3e2413af71cc9b22,False,False,136,False,
https://github.com/vassalengine/vassal/commit/67e5a6e01cb8afea0f71a919469d804d4e15aaca,False,False,12037,False,
https://github.com/apache/shardingsphere/commit/85847a9a769dcdc8a7b61c4a54d61558d74cf5d7,False,False,1486,False,
https://github.com/fabric8io/kubernetes-client/commit/08218e959ab8dd9c95731e8699b54e2bf707ffa3,False,False,2759,False,
https://github.com/apache/pulsar/commit/4d13bdbe510cefc73a187ff587883f91c50d52f0,False,False,20702,False,
https://github.com/pinpoint-apm/pinpoint/commit/1c6d7e80f2f14a7f3b6d2c5797ac1a855c262843,False,False,281,False,
https://github.com/javaparser/javaparser/commit/69d6fc22fc30f26b36be9bc0d67a6c344d2ceeb2,False,False,2483,False,
https://github.com/DTStack/chunjun/commit/d333dd011d04ae36a711365883ba539a39708964,False,False,368,False,
https://github.com/fabric8io/kubernetes-client/commit/cfb69e4bc88aa0401c9c711e5de445e97fdc2df0,False,False,2759,False,
https://github.com/OpenAPITools/openapi-generator/commit/8eaeb2a1e78b63a1c942e5e5147317a88adc3d79,False,False,17189,False,
https://github.com/KonduitAI/konduit-serving/commit/6470b828056c8fc9792a662ab04155f76518b2a4,False,False,229,False,
https://github.com/quarkusio/quarkus/commit/a862426165200141c234429e9a691744637f3481,False,False,3462,False,
https://github.com/apache/shardingsphere/commit/653cbc416f5eecfd70a92819ce10022ea6408d1c,False,False,1517,False,
https://github.com/FundRequest/platform/commit/d21869e96c356685dafc9c9e6b0ca7cec2fdf167,False,False,212,False,
https://github.com/apache/shardingsphere/commit/a2401cbfb42bfc28c738c01562e30aa975905268,False,False,962,False,
https://github.com/apache/shardingsphere/commit/4899e29864c6ca823f2a01917070fb1c11a619e9,False,False,18518,False,
https://github.com/quarkusio/quarkus/commit/e39e7dede97d380d802b3418b858f379a86f8ec3,False,False,3149,False,
https://github.com/smallrye/smallrye-mutiny/commit/6550eddae0741f3f462cd354cfc57d2554e67069,False,False,,False,
https://github.com/quarkusio/quarkus/commit/66e46d44be320c1d480013228d0802f62a07e9bb,False,False,11792,False,
https://github.com/apache/shardingsphere/commit/58b7ac07fb4652925937d77e0ae6d228c4ca5c8a,False,False,1486,False,
https://github.com/prestodb/presto/commit/afa661d608a6474ea4ed48325eced7ba6d1c0edd,False,False,6929,False,
https://github.com/spacious-team/investbook/commit/0d2c3cadd7dc378560ef71433260495364f01bc6,False,False,465,False,
https://github.com/oracle/opengrok/commit/61b85758c63c0112ac7fa1cf41ba6ff6a44f10e3,False,False,4210,False,
https://github.com/quarkusio/quarkus/commit/9fee490b2a1e34a3d9688e309d807014aa681a76,False,False,3530,False,
https://github.com/apache/shardingsphere/commit/14d7dd5f1c9c05310b6fbd5ca281e586b188f0ff,False,False,1517,False,
